country,Year,DCI
France,1999,0.831508738
France,2000,0.808452793
France,2001,0.803626236
France,2002,0.799920581
France,2003,0.799319422
France,2004,0.798244541
France,2005,0.797437287
France,2006,0.797377119
France,2007,0.797071747
France,2008,0.7979907
France,2009,0.795867182
France,2010,0.795634412
France,2011,0.793700609
France,2012,0.79227709
France,2013,0.790732049
France,2014,0.789228091
Italy,1816,0.776980735
Italy,1817,0.831937614
Italy,1818,0.831303675
Italy,1819,0.830693906
Italy,1820,0.833926354
Italy,1821,0.836959397
Italy,1822,0.856669139
Italy,1823,0.772931337
Italy,1824,0.799339637
Italy,1825,0.798754814
Italy,1826,0.798160509
Italy,1827,0.797557097
Italy,1828,0.807558702
Italy,1829,0.806960482
Italy,1830,0.806353478
Italy,1831,0.80575298
Italy,1832,0.805158859
Italy,1833,0.80455637
Italy,1834,0.803859185
Italy,1835,0.818672305
Italy,1836,0.817951114
Italy,1837,0.817224851
Italy,1838,0.816507808
Italy,1839,0.81018711
Italy,1840,0.816368274
Italy,1841,0.810048768
Italy,1842,0.800757387
Italy,1843,0.792955234
Italy,1844,0.792874249
Italy,1845,0.792110802
Italy,1846,0.801458173
Italy,1847,0.809604553
Italy,1848,0.859152446
Italy,1849,0.85898689
Italy,1850,0.818345307
Italy,1851,0.840398879
Italy,1852,0.840224704
Italy,1853,0.834354209
Italy,1854,0.834182165
Italy,1855,0.836931685
Italy,1856,0.835320387
Italy,1857,0.833682211
Italy,1858,0.833512172
Italy,1859,0.836261305
Italy,1860,0.828498518
Italy,1861,0.834027822
Italy,1862,0.82798337
Italy,1863,0.854308146
Italy,1864,0.872817898
Italy,1865,0.83459336
Italy,1866,0.841376903
Italy,1867,0.876421786
Italy,1868,0.856470197
Italy,1869,0.831523581
Italy,1870,0.820213501
Italy,1871,0.867571918
Italy,1872,0.81837085
Italy,1873,0.81241876
Italy,1874,0.818410949
Italy,1875,0.818827359
Italy,1876,0.809263199
Italy,1877,0.807196114
Italy,1878,0.826208004
Italy,1879,0.812821217
Italy,1880,0.812477362
Italy,1881,0.812135849
Italy,1882,0.809746246
Italy,1883,0.809742407
Italy,1884,0.830246754
Italy,1885,0.830719906
Italy,1886,0.830599026
Italy,1887,0.831061919
Italy,1888,0.832649715
Italy,1889,0.837357638
Italy,1890,0.837211235
Italy,1891,0.83884733
Italy,1892,0.832135393
Italy,1893,0.83779805
Italy,1894,0.833784507
Italy,1895,0.8275696
Italy,1896,0.826310318
Italy,1897,0.831823436
Italy,1898,0.848195635
Italy,1899,0.835476432
Italy,1900,0.834595744
Italy,1901,0.834275068
Italy,1902,0.837420197
Italy,1903,0.835735664
Italy,1904,0.833664229
Italy,1905,0.834118287
Italy,1906,0.834140944
Italy,1907,0.820714981
Italy,1908,0.822612936
Italy,1909,0.828695374
Italy,1910,0.828523562
Italy,1911,0.837515964
Italy,1912,0.857571733
Italy,1913,0.835616128
Italy,1914,0.846548859
Italy,1915,0.991503216
Italy,1916,0.990910997
Italy,1917,0.991003145
Italy,1918,0.991708153
Italy,1919,0.962035852
Italy,1920,0.90446402
Italy,1921,0.832082109
Italy,1922,0.83196933
Italy,1923,0.835876825
Italy,1924,0.848579282
Italy,1925,0.832403526
Italy,1926,0.835718815
Italy,1927,0.83542038
Italy,1928,0.834672719
Italy,1929,0.83375161
Italy,1930,0.83690182
Italy,1931,0.83257142
Italy,1932,0.83993275
Italy,1933,0.841088518
Italy,1934,0.840433228
Italy,1935,0.927022608
Italy,1936,0.836015972
Italy,1937,0.855525602
Italy,1938,0.857814486
